Candidate,Win Percentage,Date,LB,UB
Trump,0.11294,2024-08-27,0.06,0.1702499999999998
Harris,0.88706,2024-08-27,0.83412,0.9443699999999996
Trump,0.12018,2024-08-28,0.06,0.19
Harris,0.87982,2024-08-28,0.81964,0.94964
Trump,0.13288,2024-08-29,0.07,0.2
Harris,0.86712,2024-08-29,0.8042400000000001,0.93424
Trump,0.08766,2024-08-30,0.04,0.15
Harris,0.91234,2024-08-30,0.86468,0.97468
Trump,0.1444,2024-08-31,0.08,0.22
Harris,0.8556,2024-08-31,0.7912,0.9312
Trump,0.14764,2024-09-01,0.08,0.22
Harris,0.85236,2024-09-01,0.78472,0.92472
Trump,0.18672,2024-09-02,0.12,0.27
Harris,0.81328,2024-09-02,0.74656,0.89656
Trump,0.18144,2024-09-03,0.11,0.27
Harris,0.81856,2024-09-03,0.74712,0.90712
Trump,0.17444,2024-09-04,0.1,0.25
Harris,0.82556,2024-09-04,0.75112,0.90112
Trump,0.15312,2024-09-05,0.09,0.23
Harris,0.84688,2024-09-05,0.78376,0.92376
Trump,0.14636,2024-09-06,0.08,0.21024999999999977
Harris,0.85364,2024-09-06,0.78728,0.9175299999999997
